program_name,university,region,tier,duration,language,degree_type,internship_required,thesis_required,scholarship,other_info,pros,cons,admission_preference,admission_data_count,admission_data,application_notes,other_notes
CUHK CS Msc,CUHK,香港,T1.5,null,null,null,null,null,null,null,"* 良好的QS排名，不错的国内名声
    * 相对耗时较短的硕士学位，可以躲避找工困难时期并提升学历
    * 少量成为CUHK Phd机会
    * 离家近，回国方便
    * 东亚胃友好，容易适应，相对安全
    ","* 由于新冠疫情和通胀影响，HK地区CS和商科有着过高的留位费和学费
    * 香港找工很难，极大部分同学回国就业
    * 国内HR逐渐了解HK课程硕士，学历加成有限
    * HK有一定歧视问题，最近越来越好
    ",看重学校title和学分绩,0,null,null,null
CUHK IE,CUHK,香港,T1.5,null,null,null,null,null,null,null,"* 良好的QS排名，不错的国内名声
    * 相对耗时较短的硕士学位，可以躲避找工困难时期并提升学历
    * 少量成为CUHK Phd机会
    * 离家近，回国方便
    * 东亚胃友好，容易适应，相对安全
    ","* 由于新冠疫情和通胀影响，HK地区CS和商科有着过高的留位费和学费
    * 香港找工很难，极大部分同学回国就业
    * 国内HR逐渐了解HK课程硕士，学历加成有限
    * HK有一定歧视问题，最近越来越好
    ",看重学校title和学分绩,0,null,null,null
Edinburgh CS,Edinburgh,英国,T1.5,1年,EN,MSc,否,需要,基本无,null,"* UK最大CS学院，CS研究资源丰富。
    * 选课自由，每个方向都能选，Arch, OS, ML, NLP, CV等
    * 80学分research-based（其中10写research review，10写research proposal，60为thesis）是入门research很好的开始。
    * 有少部分机会可以全奖CS PhD","* UK MSc通病，学制太短
    * 冬天下午就天黑，容易emo",大量陆本录取，意思喜欢EE本科？,1,"[{'录取时间': '21Fall', '录取结果': 'AD', '学校（档次）': '陆本top35', '本科专业': 'EE', 'GPA/Rank': '88/top5%', '科研经历': '两段校内', '实习经历': '无', '其他（语言/推荐信）': 'T95'}]",null,想申PhD的可以self propose毕设，提前联系感兴趣的导师
EIT欧盟奖学金,EIT欧盟奖学金,未分类,T1.5,2年,EN,Master of 看具体项目,是,是,全奖/半奖,有一段summer school,"* 有全奖的机会，可以免除学费。
    * 相比于直接申请，比如KTH或者Aalto之类的学校，该项目有更大的几率上岸，这意味着你可以看看EIT或者Erasmus项目中有没有你的梦校，曲线救国。
    * 毕业后获得两个学校（该项目有入口校和出口校，一个学校上一年，一共读两年）的毕业证，和正常读的同学没有区别（请自行确认该信息的时效性）。
    * 你将在欧洲的多个地区进行学习与交流，因此你将有更多的机会领略欧洲风景与文化。
    * 有一个强制实习，如果自己找不到实习可以去找项目负责人问问，应该可以把你安插到他们的合作公司中去。
    ","* 需要自己支付生活费。目前EIT的全奖仅覆盖学费而没有生活津贴了，所以生活费还需要自己出。
    * 文书方面需要多写一个创新计划书，可能比较麻烦。
    * 支付渠道繁琐。不同于Visa或MasterCard，这个项目是需要你转账的，因此你需要去银行办理国际转账业务，最好去找那种有专门负责国际业务的大型银行。
    ",本科专业匹配度和你的成绩基本能够决定你是否录取，创新计划书好好写或许能够锦上添花。,1,"[{'录取时间': '23Fall: 2.8 - 3.30', '录取结果': 'Data Science项目全奖', '学校（档次）': '陆本Top15', '本科专业': 'CS', 'GPA/Rank': '3.94/4.0', '科研经历': '三段校内', '实习经历': '无', '其他（语言/推荐信）': 'IELTS 7.5(6.5), GRE 330+4'}]",null,null
EM欧盟奖学金,EM欧盟奖学金,未分类,T1.5,2年,EN,Master of Computer Science,否,是,每个国家至多有3个奖学金，据观察一般是每个国家两个,本条仅针对BDMA项目,"
    * 多国家游学体验。BDMA可以去三个国家，第一学期比利时，第二学期西班牙，第三学期可以在荷兰、法国、意大利中进行选择。
    * 在欧洲知名度较高，领英上有很多校友
    * 第四学期有一整个学期的实习机会
    * 如果获得奖学金，奖学金非常丰厚，两年一共4.9w欧元的奖学金。涵盖了学费、旅行支出、生活费。详情可见（https://bdma.ulb.ac.be/home/students/tuition-fees-scholarships/）
    * diversity很高，可以跟来自亚洲、非洲、美洲、欧洲的同学一起交流，开拓眼界","
    * 学校排名不高，回国后认可度存疑
    * 需要多次搬家，稍微有些麻烦
    * 由于游学性质，不利于在当地建立connection
    
???+ abstract ""EM具体项目及体验""

    具体培养方案及课程安排详见官网(https://erasmus-plus.ec.europa.eu/opportunities)。
    
    * SECCLO
    * BDMA
    * LCT","EM的项目非常注重diversity，也就是说，录取非常玄学。由于每个国家3个奖学金名额的限制，是否能拿到奖学金完全由跟你同年申请的竞争者决定，所以奖学金的bar每年浮动会比较大。
    即使背景不算强，也可能拿全奖；即使是大佬，也有可能被竞争者比过。
    这一点有区别于其他项目历年来相对稳定的bar。",1,"[{'录取时间': '23Fall', '录取结果': 'AD全奖', '学校（档次）': '陆本top15', '本科专业': 'IS', 'GPA/Rank': '91.52/100，top5%', '科研经历': '2段校内', '实习经历': '2段小厂', '其他（语言/推荐信）': 'T111，G324+4'}]",null,null
HKU CS Msc,HKU,欧洲,T1.5,null,null,null,null,null,null,null,"* 良好的QS排名，不错的国内名声
    * 相对耗时较短的硕士学位，可以躲避找工困难时期并提升学历
    * 少量成为HKU Phd机会
    * 离家近，回国方便
    * 东亚胃友好，容易适应，相对安全
    ","* 由于新冠疫情和通胀影响，HK地区CS和商科有着过高的留位费和学费
    * 香港找工很难，极大部分同学回国就业
    * 国内HR逐渐了解HK课程硕士，学历加成有限
    * HK有一定歧视问题，最近越来越好
    ",看重学校title和学分绩,0,null,null,null
HKUST BDT,HKUST,香港,T1.5,null,null,null,null,null,null,null,"* 良好的QS排名，不错的国内名声
    * 相对耗时较短的硕士学位，可以躲避找工困难时期并提升学历
    * 少量成为HKUST Phd机会
    * 离家近，回国方便
    * 东亚胃友好，容易适应，相对安全
    ","* 由于新冠疫情和通胀影响，HK地区CS和商科有着过高的留位费和学费
    * 香港找工很难，极大部分同学回国就业
    * 国内HR逐渐了解HK课程硕士，学历加成有限
    * HK有一定歧视问题，最近越来越好
    ",看重学校title和学分绩,0,null,null,null
HKUST IT,HKUST,香港,T1.5,null,null,null,null,null,null,null,"* 良好的QS排名，不错的国内名声
    * 相对耗时较短的硕士学位，可以躲避找工困难时期并提升学历
    * 少量成为HKUST Phd机会（极少）
    * 离家近，回国方便
    * 东亚胃友好，容易适应，相对安全
    * 生活成本高
    ","* 由于新冠疫情和通胀影响，HK地区CS和商科有着过高的留位费和学费
    * 香港找工很难，极大部分同学回国就业
    * 国内HR逐渐了解HK课程硕士，学历加成有限
    * HK有一定歧视问题，最近越来越好
    * 课程内容相对轻松，与本科课程重合度较高，适合想转码或者有码基础的管理人才就读（港校老师原话）
    ",看重学校title和学分绩,0,null,null,null
KU CS,KU,欧洲,T1.5,2年,EN,Master of Science,否,是,全奖,null,"* 学费 EUR 7,390一学期
    * 哥哈CS在NLP和理论算法方向很强，CV方面有Serge Belongie大佬坐镇
    * 可参考此[学习体验](https://zhuanlan.zhihu.com/p/495418502)
    * 可以上隔壁DTU以及ITU的课来转学分（但是校区距离较远）
    * 有第二年奖学金（学费+生活费）官网原话 In 2022 the fee-paying students who were awarded this scholarship had a GPA of 10.5 or higher on the Danish grading scale.
    * 课程安排以machine learning为主，适合想要学习machine learning相关topic的学生","* 课程偏理论，第一学期的课(Advanced Programming)反应很难
    * 物价成本高，租房困难
    * 奖学金带生活费但门槛极高，官网原话 In 2021 the recipients of the scholarships had a GPA of more than 95%.",#NAME?,2,"[{'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '陆本top15', '本科专业': 'CS', 'GPA/Rank': '3.35/4.0', '科研经历': '无', '实习经历': '一段大厂', '其他（语言/推荐信）': 'IELTS 6.5'}, {'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '海本', '本科专业': 'SE', 'GPA/Rank': '3.4/4.0', '科研经历': '无产出一段', '实习经历': '一段车企', '其他（语言/推荐信）': 'IELTS 6.5'}]","* 需要提交本科课程描述（根据其要求来填写表格）
    * 不需要PS/推荐信，需要CV","以下发言源自笔者潜水KU CS群中一位学长（如有冒犯请第一时间联系并删除）

    系统论证下对硕士而言，DTU CS > KU CS：

    1.如果你要留欧洲工作，DTU认可度＝KU，DTU开课更多，课程更贴近就业，胜 

    2.如果你要回国工作，KU排名略高于DTU，但是鉴于你花了太多时间上没用的课（advanced programming, advanced algorithm and data structure, advanced computer system）这三门必修课对你就业没啥用，限制性选修的课也大部分没啥用，你没时间学开发知识，而DTU课程设置贴近开发，课程简单有助于你节省时间去实习，两年后，DTU毕业的你会强得多，足以克服排名不如KU的缺点 

    3.你想读博，DTU有special course ，老师很愿意带你科研，有希望发文章，不用把时间花在没用的课上，你又因此有更多的时间科研，胜 总结 去DTU"
LMU Informatics,LMU,欧洲,T1.5,2年,German,Master in Computer Science,否,是,德意志奖学金,null,"* 相对于其他德国学校给分较高，挂科率更低
    * 在ML/AI/CV方向比较有竞争力
    * 与工业界联系紧密，毕业后有很好的工作机会，并且作为精英项目也有很好的读博机会
    * 免学费（随着TUM开始收学费，巴伐利亚的其他学校很快也会开始收取学费。Master约 2-6k €/学期）
    * 德国工资相对其他欧盟国家较高，且毕业后工作两年就可申请德国永居
    * 慕尼黑环境较为安全，在欧洲腹地到处游玩都很方便
    ","* 德国项目需要提前预约APS审核
    * 虽然课程有很多是英语教学，但入学需要德语证书
    * 慕尼黑是德国生活成本最高的城市，房源少而贵
    * 计算机学院小而精，选修课较少","* 要求计算机科学相关背景，需要课程匹配度
    * 入学需要参加简易入学测试
    * GPA85+",1,"[{'录取时间': '24Winter', '录取结果': 'AD', '学校（档次）': '陆本双非', '本科专业': 'CS', 'GPA/Rank': '88/100', '科研经历': '无', '实习经历': '一段', '其他（语言/推荐信）': 'TestDaf4433'}]",* 更多信息可以参看官网：https://www.ifi.uni-muenchen.de/index.html,null
NTU Cyber Security,NTU,新加坡,T1.5,1.5年,EN,Master of Science in Cyber Security,是,非必要,奖学金基本只针对新加坡人,null,"* QS排名10出头，优异的国内名声
    * 提供工业界实习机会，提高找工几率
    * 东亚胃非常友好，花园城市
    * 几乎不用考虑安全问题
    * 热带气候（这取决于你喜不喜欢）
    * 如果能得到工签，移民相对不算困难    
    ","* 58,000新币(含消费税)的学费，相当高昂(接近30wRMB)
    * 受到经济形势影响，新加坡找到国际大厂工作难度很高，不少同学选择回国
    ",有相关工作经验者优先,0,null,"* 系统不需要给老师发邮件填写推荐信，但有自己提交推荐信的地方
    * 实习经历不算在工作经历之内（请注意！）","* MSCS这个名字谁也想不到是Cyber Security
    * 需要提交留位费5000新币（对于香港来说相对友好）"
NTU MSAI,NTU,新加坡,T1.5,1～1.5年,EN,Master of Science in Artificial Intelligence,否,非必要,奖学金基本只针对新加坡人,null,"* QS排名10出头，优异的国内名声
    * 有一定成为NTU Phd的机会
    * 东亚胃非常友好，花园城市
    * 几乎不用考虑安全问题
    * 热带气候（这取决于你喜不喜欢）
    * 如果能得到工签，移民相对不算困难
    ","* 58,644新币(含消费税)的学费，相当高昂(接近30wRMB)
    * 受到经济形势影响，新加坡找到国际大厂工作难度很高，不少同学选择回国
    ","无明显趋势，个人体感更看重学校档次和GPA
    或者有相关行业经验",0,null,"* 系统不需要给老师发邮件填写推荐信，但有自己提交推荐信的地方
    * 实习经历不算在工作经历之内（请注意！）",* 需要提交留位费5000新币（对于香港来说相对友好）
NTU MSDS,NTU,新加坡,T1.5,1.5年,EN,Master of Science in Data Science,是,非必要,奖学金基本只针对新加坡人,null,"* QS排名10出头，优异的国内名声
    * 提供工业界实习机会，提高找工几率
    * 东亚胃非常友好，花园城市
    * 几乎不用考虑安全问题
    * 热带气候（这取决于你喜不喜欢）
    * 如果能得到工签，移民相对不算困难
    ","* 58,000新币(含消费税)的学费，相当高昂(接近30wRMB)
    * 受到经济形势影响，新加坡找到国际大厂工作难度很高，不少同学选择回国
    ",有相关工作经验者优先,0,null,"* 系统不需要给老师发邮件填写推荐信，但有自己提交推荐信的地方
    * 实习经历不算在工作经历之内（请注意！）",* 需要提交留位费5000新币（对于香港来说相对友好）
NUS Mcomp,NUS,新加坡,T1.5,1.5 年,EN,Master of Computing(Computer Science Specialisation),否,不必要,几乎只针对新加坡公民,null,"* QS排名10出头，优异的国内名声
    * 有一定几率成为NUS Phd
    * 东亚胃非常友好，花园城市
    * 几乎不用考虑安全问题
    * 热带气候（这取决于你喜不喜欢）
    * 如果能得到工签，移民相对不算困难    
    ","* 51,000（不含8~9%消费税）的学费，相对高昂
    * 受到经济形势影响，新加坡找到国际大厂工作难度很高，不少同学选择回国
    ",无明显趋势，个人体感更看重学校档次和GPA,1,"[{'录取时间': '23fall', '录取结果': 'AD', '学校（档次）': '陆本Top15', '本科专业': 'CS', 'GPA/Rank': '3.84/4(91)', '科研经历': '一段校内', '实习经历': '一段国内中大厂', '其他（语言/推荐信）': 'T108; G330'}]","* 申请general track 不是必须要提交GRE成绩
    * 成绩单需要提交前7个学期的",* 需要提交留位费5000新币（对于香港来说相对友好）
TUE CS,TUE,欧洲,T1.5,2年,EN,MS,否,是,10000欧,null,* 发offer早，过期晚，适合拿来做保底,"* Edinhoven找房子非常困难，找不到学校会退学费
    * 申请手续复杂，需要论文摘要/资产证明和线下转账",2TU似乎会卡国内211，不过对于符合门槛的似乎很低,1,"[{'录取时间': '24fall', '录取结果': 'AD', '学校（档次）': '华五', '本科专业': 'CS', 'GPA/Rank': '3.2', '科研经历': '2段校内', '实习经历': '无', '其他（语言/推荐信）': 'IELTS7(6), 两封校内老板'}]","* 资产证明和转账很麻烦 需要提前准备
    * 对奖学金有期望的需要较早完成申请，以2023为例，申请期限大概在4月底左右，只有2月前的申请会被考虑奖学金",* 可能被学校要求补课
UCL CGVI,UCL,英国,T1.5,1年,EN,Msc,否,null,null,null,"* 优异的QS排名和国内名誉，CG方向有不错的老师
    * 伦敦是一个美丽且富有人文气息的城市，找工和实习机会相对更为丰富
    ","* 35000英镑的学费+伦敦高昂的生活成本
    * UK找工作有一定难度，许多同学选择回国工作
    ",null,1,"[{'录取时间': '23fall', '录取结果': 'AD', '学校（档次）': '陆本Top15', '本科专业': 'CS', 'GPA/Rank': '3.9/4.0', '科研经历': '1段校内；1段海外', '实习经历': '2段国内大厂', '其他（语言/推荐信）': 'T105'}]",null,null
UCL CS Msc,UCL,英国,T1.5,null,null,null,null,null,null,null,null,null,null,0,null,null,null
UH CS,UH,未分类,T1.5,2年,EN,Master of Science,否,是,半奖/全奖/全奖+5000€,null,"* 论文质量非常扎实
    * 相对于Aalto更低的门槛
    * 选课非常自由，不同track仅有几门必修课的区别
    * 有北欧为数不多的一个NLP组，虽然在数字人文系下面",* 芬兰当地经济/实习状况一般,null,1,"[{'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '陆本top15', '本科专业': 'CS', 'GPA/Rank': '3.35/4.0', '科研经历': '无', '实习经历': '一段大厂', '其他（语言/推荐信）': 'IELTS 6.5'}]","* 填写表格相对其他学校复杂
    * 不需要申请费
    * 需要在学信网上做成绩单验证，如果已经毕业，还需要做学位认证","第二年可以开始进组做RA,一般路径为暑期实习留用。"
UH DS,UH,未分类,T1.5,2年,EN,Master of Science,否,是,全奖/半奖,null,"    - 生活
        - 赫尔辛基地区生活成本并不高，超市肉蛋奶价格基本持平国内，蔬菜水果略贵；
        - 芬兰有非常好的学生福利，学生餐只要2.95欧，首都地区的学生公寓单人Studio在600欧左右，Shared Apartment只要400欧左右，公共交通/火车都有学生价；
        - 赫尔辛基非常干净整洁，自然环境极其好；
    - 学习
        - 赫大选课非常自由，必修课少，以DS项目为例，120学分中只有20学分必修课，其他可以跨专业/跨学校选课，笔者就在阿尔托大学修了一门课；
        - 上课基本没有出勤要求，笔者第一学期后基本很少去教室，基本在家或图书馆（[赫大中心校区的图书馆](https://maps.app.goo.gl/AiNYrGEAFDydHGC46)非常Nice)；
        - 赫大CS系的课程难度不大，比较容易拿到高GPA；
    - 科研
        - 学术方面，阿尔托以及赫大的CS系主要以做Bayesian machine learning为主，实力不俗；
        - CS系每年年初会发布暑期的带薪RA机会，很多人通过RA之后留组读博；
        - NLP方面的research，赫大其实有一个还不错的NLP组，不过它并不在Kumpula校区Faculty of Science下的Department of Computer Science，而是在City Center校区Faculty of Art下的Department of Digital Humanities;
        - 前几年，阿尔托、赫大和VTT成立了Finnish Center for Artificial Intelligence (FCAI)，每年会通过这个招收不少PhD；
        - 如果从事AI，芬兰有非常的计算资源，Finnish IT Center for Science (CSC)拥有大量的计算资源，目前主要的三个计算集群，Puhti (96 Nvidia V100 GPUs)、Mahti (48 Nvidia A100 GPUs)、Lumi (10240 AMD Radeon Instinct MI250X GPUs，欧洲最快的超算)，2025年还将投入使用的Roihu，会配备528个Nvidia GH200 GPU","- 生活
        - 芬兰的气候比较极端，冬天长，11月到1月日照少，有的人会感觉不舒服，但因人而异；
        - 中餐馆质量不行🙃；
      - 学习
        - 赫大CS系还是比较小，在欧洲不算第一梯队，课程简单，所以不要期待从课堂学到太多知识；",null,1,"[{'录取时间': '2023', '录取结果': 'AD全奖', '学校（档次）': '985', '本科专业': 'CS', 'GPA/Rank': '85', '科研经历': 'None', '实习经历': '1段小公司', '其他（语言/推荐信）': '雅思6.5'}]",需要CHESICC成绩单认证,null
University of Heidelberg DCS,University,欧洲,T1.5,null,null,null,null,null,null,null,"* 学校环境优美
    * 学校综合排名不错
    * 德国居留政策好
    ","* 租房难
    * 作业多
    * 对于陆本学生，需要 APS 审核
    * 方向较少
    ",* 比较看重课程匹配,0,null,"* 通过 [heiCO 平台](https://heico.uni-heidelberg.de/) 进行申请
    * 申请的时候不用交 APS 证书，录取后确认 offer 再交即可
    * 貌似不用交动机信、推荐信、课程描述等
    * 高中毕业证需要翻译公证",null
CTH CAS,CTH,欧洲,T2,null,null,null,null,null,null,null,"* 瑞典良好的找工环境
    ","* 对于打算回国的，查尔姆斯理工知名度不高，慎选
    ",null,1,"[{'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '陆本top15', '本科专业': 'CS', 'GPA/Rank': '3.35/4.0', '科研经历': '无', '实习经历': '一段大厂', '其他（语言/推荐信）': 'IELTS 6.5'}]",null,null
DTU AI,DTU,欧洲,T2,2年,EN,Master of Science,否,是,null,null,null,null,null,0,null,null,null
DTU CS,DTU,欧洲,T2,2年,EN,Master of Science,否,是,null,null,"
    * 地处哥本哈根，有最密集的IT产业。但似乎丹麦有很多不同行业的（含金融银行，传统工业，能源等）也有IT的需求。",null,2024 Fall Update: 众所周知，DTU 国际招生处领导层更替，从点击就送变成卡均分 85。据观察，85及以上的无论学校背景（含双非）基本收到了offer，85-的基本无论学校背景都是WL。,3,"[{'录取时间': '23Fall', '录取结果': 'AD', '学校（档次）': '陆本top15', '本科专业': 'CS', 'GPA/Rank': '3.35/4.0', '科研经历': '无', '实习经历': '一段大厂', '其他（语言/推荐信）': 'IELTS 6.5'}, {'录取时间': '24Fall', '录取结果': 'waiting list', '学校（档次）': '华五', '本科专业': 'CS', 'GPA/Rank': '3.2', '科研经历': '两段水科研', '实习经历': '无', '其他（语言/推荐信）': 'IELTS 7'}, {'录取时间': '24Fall', '录取结果': 'waiting list', '学校（档次）': '211', '本科专业': 'CS', 'GPA/Rank': '3.2', '科研经历': '两段水科研', '实习经历': '实习2段工作2年', '其他（语言/推荐信）': 'IELTS 6.5'}]",null,24Fall疑似变卷，卡GPA85
FAU AI,FAU,欧洲,T2,null,null,null,null,null,null,null,"* 课程设置较合理
    * 免学费（随着TUM开始收学费，巴伐利亚的其他学校很快也会开始收取学费。Master约 2-6k €/学期）
    ","* 难租房，学校不会管这件事
    * 排名低，回国慎选
    ",null,0,null,null,null
NUS CE,NUS,新加坡,T2,1～1.5年,EN,Master of Science (Computer Engineering),可选择,非必要,奖学金基本只针对新加坡人,偏向EE方向,"* 学校层次、环境、花费，移民、人生安全类似cs学院的NUS Mcomp项目
    * 由于该专业属于cde学院，因此课程还是与传统cs的项目有一定差距，会涉及EE相关的课程较多。
    * 如果想走人工智能方向的话，个人还是推荐尝试。
    * 作为 NUS Mcomp的替补，CE可以拿来保底","* 本专业同学还是以拿硕士文凭为主，课程要求也是培养CE相关的工程师为主，搞研究还是要自己努力
    * 由于是名校的项目，CE还是有转phd的可能性
    * 回国还是毕业的主流
    * 新加坡的物价又涨了。。。",主要看重GPA和学校，如果求稳妥的话，建议学校背景为211以上。,0,null,null,需要提交留位费5000新币（对于香港来说相对友好）
NUS DSML,NUS,新加坡,T2,1年,EN,Master of Science (Data Science and Machine Learning),可选择,非必要,奖学金基本只针对新加坡人,DSML,"* 学校层次、环境、花费，移民、人身安全类似cs学院的NUS Mcomp项目
    * 本项目有提前批，如果顺利的话8-9月就能拿到offer
    * 作为 NUS Mcomp的替补，CE可以拿来保底","* 留位费比较高
    * 时长只有1年，相比Mcomp来说短一点
    * 新加坡的物价又涨了。。。",主要看重GPA和学校，如果求稳妥的话，建议学校背景为211以上。,4,"[{'录取时间': '2023.08.15', '录取结果': 'AD', '学校（档次）': '浙江大学', '本科专业': '？', 'GPA/Rank': '89', '科研经历': '无', '实习经历': '无', '其他（语言/推荐信）': '无'}, {'录取时间': '2023.08.15', '录取结果': 'AD', '学校（档次）': '上海财经大学', '本科专业': '数据科学', 'GPA/Rank': '3.66/4', '科研经历': '无', '实习经历': '无', '其他（语言/推荐信）': '托福99'}, {'录取时间': '2023.08.15', '录取结果': 'AD', '学校（档次）': '上海纽约大学', '本科专业': '计算机科学，double major数据科学', 'GPA/Rank': '3.72/4', '科研经历': '3', '实习经历': '1', '其他（语言/推荐信）': '托福111(25)'}, {'录取时间': '2023.08.15', '录取结果': 'AD', '学校（档次）': 'NUS', '本科专业': '', 'GPA/Rank': '4.3/5', '科研经历': '', '实习经历': '4', '其他（语言/推荐信）': '一段助教'}]",null,需要提交两笔留位费，第一笔八月底，第二笔次年1月，每笔5000新币
SMU MITB,SMU,新加坡,T2,1-2 年,EN,MITB Tracks （Master of IT in Business）,是,可选,only for 新加坡人,转码好项目！！！,"* 对于非cs的或者希望转AI方向的人比较友好
    * 由于SMU是商科学校，因此自带实习，对于想要留在新加坡的同学有很大帮助。
    * SMU的校友资源很强大，对于找工十分友好
    * 学校的管理层效率高，很友善，可以避免很多离谱事件发生
    * 老师看得出来是真心愿意好好教学，并且支持搞科研
    * 转phd比其他NUS或者NTU项目要更加smooth一些，个人能力的影响因素占主要，适合愿意搏一搏的同学
    * 课程安排的内容良好，并且教的知识都是比较前沿工业界的，同样也是方便找工人群","* QS 排名劣势，但是在新加坡本地认可度很高，但回国可能选择受限
    * 由于新加坡生活cost进一步上升，预算要提高
    * 新加坡地方小，可能有些同学会无聊
    * 个人能力的影响因素较大，如果没有做好充分找工或者以此为跳板找phd，个人建议还是选名气大学校",主要看学校和成绩，无海本优势。（当然本地生肯定最好）,0,null,"1. 有面试，注意面试准备
    2. 需要GRE成绩，大约313左右
    3. 要交留位费",null
TU Graz CS,TU,欧洲,T2,2年,EN,"Diplom-Ingenieur (Dipl.Ing. or DI),等于 Master of Science (MSc)",否,是,额外奖学金（较难申请）,null,"* 免学费，一学期只要762欧元团结费+学生会费
    * 开设科目众多，课程选择面大
    * 最靠近东欧的CS高校，方便享受东欧的旅游资源
    * 可以自由选择入学时间，学位保留一年，如23winter录取可以自由选择是23winter入学还是24summer入学
    * 高CSrankning低bar，学校注重科研方面培养，有丰富的实验室资源可供使用（已知有个ETH的组内phd来自ETH，EPFL，TUD以及TUGraz）
    * 城市生活成本低
    * 有由当地工业协会提供的额外奖学金（一年8000欧），申请到之后可以很方便于业界交流（申请较难，优先考虑东欧学生）
    ","* 招生人数少，一学期仅有40个
    * 需要APS审核，过程较为繁琐
    * 英语普及率较低
    * 学期时间同德国，为夏，冬季入学，较为不方便同其他国家同学约旅行（以及天然没有复活节假期，在春假范围内）
    * qs排名极低，考虑回国慎选
    ",null,0,null,"填写课程匹配表格相对繁琐
    需要根据提供的课程清单草拟一份想选的课程（但是不会对实际录取产生影响）",null
TU Wien CS,TU,欧洲,T2,2年,EN,Master of Science,null,是,null,null,"* 学费开销低廉，名义上免学费，一学期大概只花七八百欧的注册费
    * 维也纳宜居
    ","* 知名度低
    * 陆本学生需要 APS 审核，过程繁琐
    * 申请时所有材料只能通过邮寄的方式，没有网申渠道，非常麻烦
    * 2023 年底之前中国大陆地区不能做海牙认证，因此申请材料如成绩单、毕业证学位证等需要翻译 + 公证 + 领事双认证。花费高，而且等待时间长
    ",null,0,null,* 不能网申！一切材料只能通过纸质邮寄！确保在申请截止时间之前递交所有申请文件,* 必须拿到毕业证后才能申请，没有条件录取
University of Vienna DS,University,欧洲,T2,2年,EN,Master of Science,null,是,null,null,"* 学费低廉，名义上免学费，实际上每学期只需交 750 欧左右的注册费
    * 维也纳宜居
    ","* 知名度不高
    * 课业压力偏大
    * 对于陆本学生，需要 APS 审核，过程繁琐
    * 对于陆本学生，申请需要成绩单、毕业证等文件进行翻译 + 公证 + 领事认证，耗时长，花费高，麻烦
    * 每年只有 40 个名额
    ",null,0,null,"* 申请网站为：[uspace](https://uspace.univie.ac.at)
    * 对于成绩单之类的文件，上传领事认证后的公证书即可
    * 本项目官网上有提供动机信格式",null
Uppsala CS,Uppsala,欧洲,T2,2年,EN,Master of Science,否,是,null,null,null,null,null,0,null,null,null
UvA&VU CS,UvA&VU,欧洲,T2,2年,EN,Master of Science,否,是,有（较难）,null,"* 23-24学年学费：15580欧，生活费每月1000欧（学校建议1000欧，个人建议按1200准备）
    * 地处荷兰首都阿姆斯特丹，方便实习找工
    * 项目注册通过VU，VU提供第一年的找房服务，覆盖35%的国际新生，拿到offer后尽快缴纳500欧元的住房服务费，并加入排房list
    * 荷兰移民需要连续居住5年，通过融入考试（包括荷兰语），最后一年持有非临时签证（工作签证）
    * 硕士2年+工作3年就能拿荷兰永居/入籍
    * VU&UvA Master of Computer Science有5个方向：https://vu.nl/en/education/master/computer-science
        * Big Data Engineering
        * Foundations of Computing and Concurrency
        * Computer Systems and Infrastructure
        * Systems for Large-Scale Applications
        * Software Engineering and Green IT    
    * Minix操作系统、Python语言诞生地，Dijkstra在此获得博士学位，两校研究水平较高。
    * 课程内容与时俱进，每年根据最新技术进行课程改革，保证技术知识的时效性。
    
    * 读博有待补充","* 租房难
    * 荷兰官方语言为荷兰语，大多数超市商店内都为荷兰语，没有英语国家生活方便。",首先是课程匹配度，其次是均分，有很多跨专业的小伙伴也申上了。,2,"[{'录取时间': '2022年12月18日', '录取结果': 'ad', '学校（档次）': '985', '本科专业': '计算机科学与技术', 'GPA/Rank': '85.6', '科研经历': '无', '实习经历': '小厂', '其他（语言/推荐信）': 'IELTS 6.5(6)'}, {'录取时间': '2022年11月21日', '录取结果': 'ad', '学校（档次）': 'TOP15(CS&SE A+)', '本科专业': '软件工程', 'GPA/Rank': '85', '科研经历': '国家重点实验室', '实习经历': '芯片中厂', '其他（语言/推荐信）': 'IELTS 7.0(6.5)'}]","* 学校会给一个word模板，照着填就行，最后转成pdf提交。
    * 准备内容：CV/动机信/课程描述/英语学术写作材料
    * 不需要推荐信，社恐选手狂喜
    * 23fall 雅思要求已经改为6.5(6.5)","* 无留位费，第一年学费+生活费在4-6月办签证时交。
    * 拿到offer决定去的话，第一时间交钱排房。"
